SITE|STONE|INSCRIPTIO|DOUBTFUL|INCOMPLETE|CONDITION|LEGIBILITY|SECONDARY|ORIENTATIO|NO_LINES|POSITION1|POSITION2|POSITION3|POSITION4|POSITION|INCISION|TECHNIQUE|NAMES|LANGUAGE|LING_NOTES|CARVE_ERR|SCRIPT|LETTER_HEI|PALEO_NOTE|id
COYCH|2|1|f|f|poor|The Royal Commission does not believe that this is an inscription (RCHAMW/1973, 59).|f|horz|2|W|shaft|n/a|panel|"Westwood/1879, 33, `At the top of the west side is the name of Ebisar clearly inscribed''.

Macalister/1949, 154, `This was at the top of the side of the shaft''.

Nash-Williams/1950, 131, `At the top of the shaft, immediately below the beaded collar-moulding, is an inscription (Fig. 141) in two lines reading horizontally''."|pocked|Nash-Williams/1950, 130, `coarsely picked'.|1|name||0|rbook||"Westwood/1879, 33, `minuscule characters''.

Rhys/1899, 164, `The letters are all minuscules, and the tail of the r is somewhat hard to trace.''

Macalister/1949, 154, `the inscription was nothing more than the name EBISAR written in two lines of half uncials, three letters in each line.''

Nash-Williams/1950, 131, `Round half-uncials, coarsely picked in clumsy style.''"|COYCH/2/1
CRAG|1|1|f|f|good|Macalister/1945, 246, `the actual reading of the letters is quite certain'.|f|vruu|2|n/a|arris|n/a|undecorated||inc||1|goide|Macalister/1945, 246, `apparently meaning `Of the Poet (filed) Luguttis...Prof. MacNeill (PRIA 39: 45) finds a difficulty in accepting this interpretation'.|0|ogham|||CRAG/1/1
CRAI|1|1|f|f|n/a|The inscription has to be deciphered from Edward Llwyd's drawing of 1698.|f|ind|1| ind|arris|n/a|undecorated|On the drawing (reproduced in Nash-Williams/1950, 70, Fig. 40), the inscription is on the left arris of the stone, taking the Latin inscription to be the front running down.|ind|||ind||n|ogham|-1|"Macalister/1945, 318: `His [Lhwyd''s] copy of the ogham shows nothing but BM?-S-N-N-N.''

Nash-Williams/1950, 69: `The Ogam inscription, as recorded, is indeterminate.''"|CRAI/1/1
CRAI|1|2|f|f|n/a||f|vind|2|ind|ind|n/a|undecorated|Nash-Williams/1950, 96: `The Latin inscription is in four half-lines reading vertically downwards ...'|ind|||inc||n|rcaps|-1|"Macalister/1945, 318: `The Roman seems to have ended MACCVTRENI HIC IACIT.  Before _Maccvtreni_ there seems to have been FILIVS (perverted in Lhuyd''s copy, where the F appears as R) ; before that again CANNTIANI (the NT ligatured) ET {I} PA~E, which is beyond emendation or elucidation''.

Nash-Williams/1950, 69: `Roman capitals (?), with three ligatures. The reading is uncertain in detail''."|CRAI/1/2
DNMOR|1|1|f|f|good|"Macalister/1945, 30--31: `1N, 9 '" from the bottom of the stone is faint. 2E34, as well as the proximal ends of the the two C''s following, are carried away, with a detached spall (there is hardly room for Rhy''s restoration of the vowel, OI): the final vowel is also lost by flaking. On the second angle MAQI MUCCOI TREN- is plain, though the vowels are faint: but after the N a detached flake has carried away the whole of the B-surface''. 

McManus/1991, 79, finds Macalister''s restoration of the phrase KOI `doubtful''. He is critical of Macalister''s reading elsewhere, at 66 he writes, `Of the second E in Macalister''s NETTA VRECC only the first two notches are visible and it appears to me that there was enough space remaining for an E or an I, which would give a more plausible reading VROECC  or VROICC. Macalister''s sketch is more accurate than the accompanying reading with regard to the last name on the inscription''. "|f|inc|2|inc|arris|n/a|undecorated||inc|Macalister/1945, 30: `The inscription is scratched in fine lines'. |1|goide||0|ogham|||DNMOR/1/1
DNWAY|1|1|f|f|some|Mcmanus/1991, 72, `beyond doubt'. |f|inc|1|inc|arris|inc|undecorated||cut|McManus/1991, 72, `incised in fine cuts'.|1|goide||0|ogham|||DNWAY/1/1
CRCKH|1|1|f|t|poor|"Westwood/1876, 73, notes that many earlier authors had not believed that the marks on the left hand edge of the stone were ogham---the first author to correctly discuss them being Brash (Rolt-Brash/1869) who then discussed them more fully in 1871 (Rolt-Brash/1871) at which time he offered a reading for the start of the inscription.  Westwood goes on to note that it was surprising that Brash had missed the oghams near the top of the stone thought by Rhys (Rhys/1874) to represent LLUNI.

Macalister/1945, 314: `The letters were well cut, not pocked, and in broad lines : but they are much weathered, and the middle part of the ogham is almost effaced, presumably by cattle wear.''"|f|vup|1|inc|arris|n/a|undecorated|"Taking the broad face inscribed with CRCKH/1/2 as the front, the inscription runs up the left hand side of the stone.

Nash-Williams/1950, 69: `The Ogam inscription is scored along the l. angle of the stone reading upwards''."|incised|Macalister/1945, 314: `... well cut, not pocked'.|1|ind|Macalister/1945, 316: `... the very rare word MOSAC, otherwise known to us only on one of the Whitfield stones (216) ; and to note that it corresponds to the unique word PVVERI in the Roman.  This cannot be accidental : the word must surely mean `boy' in the sense of `attendant' rather than of `son'.'|n|ogham|-1|"Rolt-Brash/1871, 160, provides a long discussion as to why the fourth character, a cross (I-forfid) should be regarded as a constantant rather than the dipthong AE which is the meaning given by the _Book of Ballymote_.

Westwood/1876, 74: `With respect to the Oghamic marks, Messrs. T. Wright and C. Roach Smith (Journ. Brit. Arch. Association, Feb. 1847) suggest that the stone has been chipped along this edge, and that the marks which remain are portions of a series of numerals giving the age of the deceased!! In the Archaeologia Cambrensis (1869, p. 153) Mr. Brash clearly proved these marks to be Oghams, but his figure of them in p. 154 by no means corresponds with the true position and form of the marks. These he partially corrected in his article on this stone (Arch. Camb., 1871, p. 158), showing that the marks on the stone, reading upwards from the bottom (and which are reproduced in the lower row of outlines in my plate as far upwards as the letter R in TRILVNI), clearly represent the Oghamic characters for the word TVRPILI ...

`It is surprising that Mr. Brash overlooked the Ogham marks at the top of the stone terminating, or rather commencing, opposite the P at the beginning of the second line. These are added on my plate at the left-hand end of the stone from sketches and rubbings by myself and Mr. Robinson of Cardiff, one of the Secretaries of the Cambrian Arch~ological Association [2]. Prof. Rhys (Arch. Camb., 1874, p. 19) gives these upper marks as equivalent to Lluni, the remains of Trilluni, which occurs as Triluni in the Roman letters.''

Macalister/1945, 315--316: `The first four letters are quite clear, the P being represented by a simplified form of the I-forfid.  The first three notches of the following I are broken away.  There is only one L, though a fracture on the surface preceding it might be mistaken for a second L.  The first two notches of the following I remain, the other three being quite abraded.  Of the surviving notches, one is oblique and appears to be longer than the ordinary notches, so it might be mistaken for an ordinary M ; it is not however, really longer than the vowel notches in the beginning of the inscription.  After this, nothing is clear but LL..N, followed by three vowel notches, at the top of the stone.  The two L''s are crowded together and certainly would have been taken for an S if we had not the corrective guidance of the Roman TRILINI.  The vowel between the L''s and the N is gone : there is hardly room for U, and it most probably was an O. The top of the stone is broken carrying with it the two final notches of the final I.  If there was ever anything in the Ogham corresponding to the concluding DVNOCATI of the Roman [CRCKH/1/2], it is altogether broken away : almost the whole back of the stone has become detached over a cleavage-plane, and it is quite possible that the completion of the inscription may thus have been lost.

`Returning now to the space following TURPILI... the edge is almost worn smooth, but on minute examination the following traces can be detected:---

`1. The B-half of an M, between the TR of the Roman TRILVNI

`2. An S, in line with the R of PVVERI

`3. The first and last scores of a C, in line respectively with the outer tips of the horizontal bars of the E of PVVERI, and with the vertical bar of the same letter.

`4. The T of T[RA]LLONI, in line with the second V of PVVERI.  Nothing remains of the R which should follow ; it must have filled up so much of the available space that it would have been impossible to crowd in the five notches of an I.  There is hardly room for more than the one notch of an A.

`These traces are sufficient to enable us to fill in the inscription, as set forth above...''."|CRCKH/1/1
CRCKH|1|2|f|f|good|"Westwood/1876, 73: `The inscription is to be read, without the slightest difficulty as to any of the letters---''.

Macalister/1945, 314: `... they are much weathered... [but the] inscription reads without a doubt''."|f|verd|4|inc|broad|n/a|undecorated|Nash-Williams/1950, 69: `The Latin inscription is in four lines (with 1. 2 superimposed above the end of 1. 1) reading vertically downwards'.|inc|"Macalister/1945, 314: `well cut, not pocked''.

Nash-Williams/1950, 69: `fairly deeply and coarsely picked''."|2|latin|"Westwood/1876, 74: `The first word in the second line I take to be intended for Pueri, used instead of filii, a most unusual formula, each of the three words in the first line also affording a grammatical error; the first name being a nominative but with a genitive termination, the second word without the commencing H, and the third word with an I instead of E.''

Macalister/1945, 315: `IC-IACIT has here and frequently elsewhere to be construed as a noun-substantive, in association with the genitive depending upon it.''"|y|rcaps|-1|"Westwood/1876, 74: `With the exception of the d in the second line, which is of the minuscule form, and the long-tailed p''s, the whole is written in tolerably good Roman capitals.\	

Macalister/1945, 315: `The initial of the last word [DUNOCATI] is the only half-uncial letter in the inscripion.''

Nash-Williams/1950, 69: `Roman capitals, fairly deeply and coarsely picked, with half-uncial D. The D and the N''s are reversed.''"|CRCKH/1/2
CRCOM|1|1|f|f|inc|Macalister/1945, 297, `the inscriptions...are so lightly cut---little more than pin-scrapes----that decipherment is difficult.'|f|inc|1|inc|arris|n/a|undecorated|Macalister/1945, 297, `the inscriptions occupy one angle'.|scratch|Macalister/1945, 297, `little more than pin-scrapes'.|1|goide|Macalister/1945, 297, `with some hesitation as to the doubl vowel EU in the first word.  It has been suggested to divide this word into two, TORAES CEUSAS, but there is no obvious advantage in doing so.'|0|ogham|||CRCOM/1/1
CRCOM|2|1|f|f|poor|Macalister/1945, 297, `the scores, always delicately scratched, ...[are] weather-worn and difficult to trace'.|f|vind|1|inc|arris|n/a|undecorated|Macalister/1945, 297, `the inscriptions occupy one angle'.|scratch|Macalister/1945, 297, `little more than pin-scrapes'.|1|goide||0|ogham||Macalister/1945, 297--298: `All decipherers are agreed on the last two words, but as to the first there are differences of opinion.  Some have read the initial as T ; but there are certainly four scores, though the first is faint.  A is certain.  The third letter crosses the stem-line a little too much for L, though it is docked rather short on the H-side.  It has a slight slope, but so has the following N.  The I is certain, though at first sight it seems to be divided into UO.  The N is faint, but quite traceable.  The vowel following is A, though it is flanked by two small scratches which might turn it into U : these, however, after careful consideration I rejected.  The DI looks at first sight like TE, on account of the length of the first score of the I, but there can be no doubt that DI is what the writer intended.'|CRCOM/2/1
CREHS|1|1|f|f|good|Macalister/1945, 293, `The scores of the name are faint, especially those of 3I: and the top of the stone is broken, carrying off the final vowel, which doubtless was there originally'. |f|vruu|2|inc|arris|inc|undecorated|Macalister/1945, 293, `Inscription pocked and rubbed on two angles (up-up) - the sinister being the first angle, as is remarkably frequent in this part of the country. The inscribed face is recessed by violent hammering to a depth of about 7 ins. behind its original surface, almost certainly to remove an earlier inscription'. |pocked|Macalister/1945, 293, `pocked and rubbed'. |1|goide||0|ogham|||CREHS/1/1
CRGUL|1|1|f|f|poor|Macalister/1945, 126--127, `in poor condition, worn and spalled, but all legible with a little trouble....In the second word all but the Q is lost by spalling. The last two letters are on the top of the stone...The EL of the first word, the vowels of MAQI, and the first I3 of CULIDOVI are broken. The last three letters are on top of the stone'. |f|vruu|2|n/a|arris|inc|undecorated|Macalister/1945, 127, `the last two letters are on the top of the stone'.|chiselled|Macalister/1945, 126, `Inscription chiselled on two edges'. |1|goide||0|ogham|||CRGUL/1/1
CRNLO|1|1|f|t|poor|"Macalister/1945, 129, `There are traces of a very worn inscription on the dexter edge''. 

Ziegler/1994, 251, `unsicher''. "|f|vup|1|n/a|arris|inc|undecorated||inc||1|goide||0|ogham|||CRNLO/1/1
CSKEE|1|1|f|t|some|Macalister/1945, 47, `the inscription... is in good condition, except for the word MUCOI, which is much chipped. Three letters are hidden in the earth at the bottom of each line'.|f|vuad|1|n/a|arris|n/a|undecorated|Macalister/1945, 47, `the inscription is in two lines (up-down)'.|inc||1|goide||0|ogham|||CSKEE/1/1
CSMO|1|1|f|f|good|"Macalister/1945, 51-52: `quite clear, though worn, owing to the stone being used as a seat by weary wayfarers''. 

Gippert/Web: `Whether there is a second M stroke in the last name or not, cannot be decided upon with certainty''. "|f|vind|1|n/a|arris|n/a|undecorated||incised||1|name||n|ogham|||CSMO/1/1
CSTGR|1|1|t|f|inc|Brindley and Kilfeather/1993, 12:`The stone was...pitted and scored, the latter being considered as a possible ogham inscription'. |f|inc||n/a|arris|inc|undecorated||inc|||inc||n|ogham|||CSTGR/1/1
CSTLD|1|1|f|f|some|Okasha/1993, 92, `The text is rather deteriorated'.|f|verd|2|S|broad|n/a|undecorated|Okasha/1993, 92, `The text is in two lines...reading downwards and facing left'.|cut/rubbed|Macalister/1945, 465, `cut and rubbed'.|1|latin||0|rcaps|70|Okasha/1993, 92, `predominantly capital script'.|CSTLD/1/1
DRUML|2|1|f|f|good|Macalister/1945, 269, `in good condition except that the top is fractured...The final of the first angle is broken away (there may have been a second C preceding it). On the second angle only the first two notches of the E and the last three scores of the N remain: the final I is very faint, but can be traced. On the face opposite the inscribed face, about the middle, there is an oval sinking...It is to be noticed that the H-surface of the second angle has been pocked and chipped smooth to prepare it for receiving the writing'. |f|vruu|2|inc|arris|inc|undecorated|Macalister/1945, 269, `on two angles (up-up)'.|pocked|Macalister/1945, 269, `pocked and rubbed'. |1|goide||0|ogham|||DRUML/2/1
DRUML|3|1|f|t|poor|Macalister/1945, 270, `The top of the stone has been broken off and with it has gone the middle of the inscription...The fracture passes just above the third score of a letter on the B-side, following 3I at the top of the dexter edge, and through the first score of the letter at the top of the sinister edge. The face flanked by the inscribed angles has certainly been trimmed by chipping, and on the right-hand edge, below the final S, there are suggestions of the tips of the scores of an earlier inscription'. |f|vuad|2|inc|arris|inc|undecorated|Macalister/1945, 270, `on two angles (up-down)'.|chiselled|MAcalister/1945, 270, `chiselled'. |1|goide||0|ogham|||DRUML/3/1
DRUML|4|1|f|t|poor|Macalister/1945, 271--272, `After the N a mistaken B-score had been blocked out: it was not deepened, and the A was cut over it. The first A of ..SALAR is broken away, and the space between the scores of the L in CELI is broken away, and the space between the scores of the L in CELI is flaked. If there were such a name as _Crisalar_, it would exactly fill the vacant space, but this is not a suggested restoration - only an indication of the length of the damaged word'. |f|vudu|3|inc|arris|on cross|undecorated|Macalister/1945, 271, `on three angles (up-down-up)'.|inc||1|goide||1|ogham||Macalister/1945, 271--272, `After the N a mistaken B-score had been blocked out: it was not deepened, and the A was cut over it'.|DRUML/4/1
DRUML|5|1|f|t|some|Macalister/1945, 272--273, `fractured after the final G. The fractured portion could have held thirteen scores, all of which must have been H-consonants or vowels...The last two notches of the I in MAQI are faint'. |f|vup|1|inc|arris|inc|undecorated||chiselled|Macalister/1945, 272, `chiselled'. |1|goide||0|ogham|||DRUML/5/1
DRUML|6|1|f|f|good|Macalister/1945, 273, `in good condition'. |f|vuad|1|inc|arris|inc|undecorated|Macalister/1945, 273, `on two angles (up-top-down)'.|inc||1|goide||0|ogham|||DRUML/6/1
DRUML|7|1|f|t|some|Macalister/1945, 274, `The beginning is chipped away: it must have contained a short name, spelt with H-consonants only. The top of the stone is also gone, and with it the middle of the second name...one score of the letter here suggested to be a T remains. TheWaterford name_Neta-Segamonas_ is excluded, as it would have been preceded by MUCOI'. |f|vupd|2|inc|arris|inc|undecorated|Macalister/1945, 274, `on two angles (up-down)'.|chiselled|Macalister/1945, 274, `chiselled'. |1|goide||0|ogham|||DRUML/7/1
DRUML|8|1|f|t|good|Macalister/1945, 275, `in good condition, save for a slight fracture at the top, which has carried off a few easily restored strokes'.|f|vupd|2|inc|arris|inc|undecorated|Macalister/1945, 275, `on two angles (up-down)'.|cut|Macalister/1945, 274, `cut'. |1|goide||0|ogham|||DRUML/8/1
DRUML|9|1|f|t|some|Macalister/1945, 275--276, `worn and broken'. |f|vupd|2|inc|arris|inc|undecorated|Macalister/1945, 275, `on two edges (up-down)'.|pocked|Macalister/1945, 275, `pocked'.|1|name||0|ogham|||DRUML/9/1
DRUML|10|1|f|f|some|Macalister/1945, 276, `The stone was used twice, the older inscription having been battered away to make room for the later one. It began on the left-hand angle and ran diagonally across the top...There is a trifling uncertainty about the L, and the following I is lost, but the rest of the word remains. The N has become inverted by the crossing-over of the inscription to the back-angle. This name reappears in the form _Sualinus_ in an inscription found at Silchester'. |f|othr|1|inc|arris|inc|undecorated|Macalister/1945, 276, `It began on the left-hand angle and ran diagonally across the top'.|inc||1|name||0|ogham|||DRUML/10/1
DRUML|10|2|f|t|some|Macalister/1945, 276--277, `Part of it is chipped away...In the gap there is room for the missing I and for seven other scores, which must have been B-scores or vowels. Three vowel-notches follow the fracture, after which come the last three letters. _Valenai_ may be offered, not as a restoration but as a modulus by which to estimate the length of the word when complete'. |f|vuad|1|inc|arris|inc|undecorated|Macalister/1945, 276, `inscription runs retroversely (up sinister-top-down dexter), and likewise crosses to the back angle'.|inc||1|goide||0|ogham|||DRUML/10/2
DRUMM|1|1|f|f|good|"Macalister/1945: `The V is faint and there is a fracture at the end of the inscription, but it seems to be complete''. 

Gippert/Web: `No further marks were recoverable in 1978. By 1996, the angle seems to have suffered more levelling so that the B-strokes of the N have become even harder to trace. Of Macalister''s reading, neither the medial O nor his V could be ascertained''. "|f|vup|1|inc|arris|inc|undecorated||inc||1|name||0|ogham|||DRUMM/1/1
DUNAD|1|1|t|t|poor|Forsyth/1996, 232: `The upper ogham, and especially its upper (horizontal) surface, seems to me to be very badly worn and ill-defined'. |f|horz|2|NE|other|inc|other||inc|Forsyth/1996, 230: `The strokes are too weathered to determine whether they were cut or pocked'. ||ind||0|ogams||Forsyth/1996, 236: `The Dunadd ogham is written in a simple and fairly unremarkable form of the script'. |DUNAD/1/1
DUNAL|1|1|f|t|good||f|inc|1|inc|inc|n/a|undecorated||scratched|Macalister/1945, 304, `faintly scratched'.|1|goide||0|ogham||"Macalister/1945, 304, `The MU is presumably the beginning of MUCOI, but the inscription has been intentionally left incomplete at this point : there is no trace of any continuation.''

CISP: It is uncertain whether the drawing in Macalister/1945, 304, shows the inscription inscribed with a stem-line or rather inscribed along the arris of the stone."|DUNAL/1/1
ICLTA|2|1|f|f|some|Macalister/1916, 149:  `The last two letters, which are on the top of the side panel, are so worn as to be almost invisible, but they can be detected if carefully looked for.'|f|mix|1|ind|more|n/a|undivided|Macalister/1949, 148, `beginning on the under side of the horizontal arm, running round the hollow at the intersection, and down the stem.'|inc||1|inc||n|rbook||"Macalister/1916, 149, `It is a palaeographical point worth a passing notice that this is the only case known of the use of the familiar abbreviation for _edón, id est_, in a lapidary inscription.  I think also that this is the only ancient inscription containing then name of Ireland.''

CISP: Macalister''s drawing (Macalister/1916, pl. XVII) shows a further letter, H (?), before ERENN, omitted from both his readings.

"|ICLTA/2/1
DUNB|1|1|f|f|poor|"Macalister/1945, 34--35: `The writing begins at 1'' 9'" from the present butt-end of the stone. A stroke of the labourer''s sledgehammer has demolished 1I, as well as the proximal ends of the scores of the 1T. The vowel preceding S is A, not, as in the previous decipherments, O. In MAQI, the A and I12 are broken away: the middles of the Q-scores are also flaked off. The last name was certainly DUCRIDDA or DUCREDDA. The U is beyond question: and the B-half of R, though spalled, can be traced. [Brash''s reading, DECQEDDA would, in any case, be impossible]. After the R there is an abrupt bend in the angle. The two D''s are quite clear: the vowel preceding them is lost, either E  or I would fill the space. The final A is faint but traceable: here there was never more than one vowel-notch''. 

McManus/1991, 66, lists this inscription as one of a number where`...I had greater difficulty reading one or more letters...but I would hesitate to reject Macalister''s reading''. "|f|vind|1|n/a|arris|n/a|undecorated||chiselled|Macalister/1945, 34: `chiselled'. |1|goide||0|ogham|||DUNB/1/1
DUNB|2|1|f|f|good|Macalister/1949, 35:`1N1 is fractured. At 2V the angle bends slightly, and 2V2 is obscure in consequence. The O is broken away, but is determined by the length of the fractured space. The penultimate A is broken, and the following C4 is damaged. The final vowel, which presumably followed the C, is gone. Although this stone was shattered into a larger number of pieces than its companion [DUNB/1] its inscription, on the whole, is better preserved'. |f|vind|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||DUNB/2/1
DUNER|2|1|f|f|good|Macalister/1949, 30--31: `The attempts at Greek letters in the cantons are curious. All the writing is at right angles with respect to the position of the cross, indicating that it was intended to lie in such a situation that passers-by would naturally approach it towards the long side of the slab'. |f|horz|6|n/a|broad|within quadrants|separated||inc||1|mixed|The inscription includes IHS XPS indicating Latin, as well as OR DO indicating goidelic.|n|rbook|||DUNER/2/1
DUNGM|1|1|t|f|poor|Macalister/1945, 301, `A hole weathered in the surface on the stone has damaged the V.  The M is sloped in the wrong direction.  I do not attach undue epigraphic importance to this monument.'|f|inc|1|NW|arris|beside cross|undivided||inc|||inc||0|ogham||Macalister/1945, 301, `A hole weathered in the surface on the stone has damaged the V.  The M is sloped in the wrong direction.  I do not attach undue epigraphic importance to this monument.'|DUNGM/1/1
DUPLN|1|1|f|t|poor|Forsyth/1996, 252, `it is extremely worn'.|f|horz|7|W|broad|n/a|panel|Forsyth/1996, 252, `the inscribed panel is on the west face of the cross at the top of the shaft'.|inc||1|latin||0|rbook||Forsyth/1996, 253, `a mixture of minuscule and majuscule letters'.|DUPLN/1/1
DUROW|1|1|f|t|poor|Macalister/1949, 39, `there is not much to make out in either of them...That on the western face has apparently been in three lines, but the upper line is partly, and the two lower lines are completely, chipped away, and even what is left in the upper line is badly worn...the first four letters [are] broken off, the last two worn to evanescence...I fear that both these inscriptions are past all hope of certain decipherment'. |f|horz|3|W|base|n/a|panel||inc||1|goide||0|rbook|||DUROW/1/1
DUROW|1|2|f|t|poor|Macalister/1949, 40: `...desperately worn'. |f|horz|5|N|base|n/a|panel||inc||2|goide||0|rbook|||DUROW/1/2
DUROW|2|1|f|f|some||f|verd|1|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook|||DUROW/2/1
DUROW|3|1|f|f|good||f|horz|1|n/a|both|above cross|separated|Macalister/1949, 42, `The slightly longer stem indicates that the inscription is inverted with respect to the design, doubtless because a footpath ran past the side that its orientation requires to be uppermost'. |inc||1|goide||0|rbook|||DUROW/3/1
EGLWC|1|1|f|f|good|The text of the Roman inscription is clear.|f|verd|2|n/a|broad|n/a|undecorated||chiselled|"Macalister/1945, 346, ''the straight lines are chisel-cut, but some of the rounded letters are pocked''.

Nash-Williams/1950, 109, ''thinly incised, except the last four letters of l. 1, which are lightly picked''."|1|latin||0|rcaps||"Nash-Williams/1950, 109, ''roman capitals''.

The G in CUNIGNI is sickle-shaped, and the R in AVITORIA has a short, almost horizontal oblique stroke. A number of the other letters lean either to the left or right, in particular the left-ward leaning F, and the rightward leaning T and L."|EGLWC/1/1
EGLWC|1|2|f|f|good|The only point of contention has been the number of vowel strokes after the G in INIGENA. Rhys/1889, 224 argued there were five strokes, but Macalister [Macalister/1921, 22; Macalister/1945, 346] has argued that the fifth stroke was only lightly carved after the lapidary recognised that only four were needed. This was accepted by Nash-Williams/1950, 109, and fig. 112.|f|vruu|2|n/a|arris|n/a|undecorated||chiselled|"Nash-Williams/1950, 109, ''incised''.

Macalister/1945, 346, ''chisel cut''."|1|goide|This inscription has the only appearance of the Primitive Irish word INIGENA for 'daughter'.|1|oghms||Macalister/1945, 346--347, 'Apparently the inverted construction is intended to bring the words of the Ogham translation adjacent to the corresponding Roman words. The fifth letter was first blocked out as an I, but only the first four notches were deepened to their full depth. Evidently the engraver hesitated to deface the erroneous score completely, lest he should make difficulties for himself by breaking the smooth surfaceof the stone. The A of AVITTORIGES is a long score not a notch'.|EGLWC/1/2
EGRMT|1|1|f|f|some|"Macalister/1945, 347, ''...quite legible, though worn''.

Romilly Allen/1889, 306, ''...the C at the beginning is very faint; but I think it can be detected in the rubbing''.

The cross at the top of the stone has damaged the initial C, and overruns the A."|f|verd|1|inc|broad|below cross|undivided||pocked|"Macalister/1945, 347, ''inscription cut''.

Nash-Williams/1950, 111, ''lightly picked and partly deepened by cutting''."|1|name|This name has not undergone any of the sound-changes which transformed common neo-Brittonic to Old Welsh. Also see under NAME.|0|rcaps||"Nash-Williams/1950, 111, `Roman capitals with half-uncial S''.

Macalister/1945, 347, `Roman capitals (the final S half-uncial)''.

The drawings by Allen/1889, fig 1, Macalister/1945, 347 and Nash-Williams/1950, fig. 113, all differ in minor details. Nash-Williams shows the ascender of the S continuing above the oblique stroke, and whereas the diagonal stroke of the R is shown as straight in Allen and Macalister, Nash-Williams shows it with a `kink'' towards the horizontal in the middle of the stroke."|EGRMT/1/1
TOURP|1|1|f|f|some||f|horz|2|inc|broad|beside cross|undivided||inc||1|name||0|rbook||Macalister/1949, 100, `The Admoer stone at Clonmacnois...teaches us that a superposed horizontal line such as we see here over the L is of the nature of a hyphen, linking a line of letters, _written above_, to those already formed. This being established the inscription becomes intelligible'.|TOURP/1/1
EMLGE|1|1|f|t|some|"Macalister/1945, 173, `As far as CALIACI everything is clear and perfect: the second I is on the shoulder of the stone. After this the top and the sinister edge are violently spalled; the lower tip of M remains to show that we have here onmce more an example of hostility to the _maqi-mucoi_ formula''. 

McManus/1991, 66, ''Ignore the letters after CALIACI in Macalister''. 

Cuppage et al/1986, 255, `Macalister claimed to have seen the lower tip of an M along the upper edge of the stone and, on the strength of this, he suggested that the inscription read CALIACI(AS) MAQQI MUCOI... This suggested restoration is not supported by any marks on the stone and even the M score is very doubtful. The second L score appears to have been shortened to avoid the arm of the cross. This suggests that the ogham inscription was carved after the cross though the time lapse may not have been great. Macalister noted some small scores at the bottom of the inscribed angle which appeared to form OBAM. These are probably natural or accidental marks''. 
  
Gippert/Web, 180, `There are no indications in favour of Macalister''s assumption that the inscription continued after CALIACI''.  "|f|vup|1|inc|arris|beside cross|undivided||pocked|Macalister/1945, 172, `pocked and rubbed'. |1|goide||0|ogham|||EMLGE/1/1
EOGWL|1|1|f|f|some|Okasha/1993, 100, states the the text is, on the whole, legible but that it may be slightly incomplete due to trimming of the stone when reused.|f|vind|2|n/a|broad|n/a|undecorated|Okasha/1993, `originally they probably read downwards facing left'.|inc||1|latin||0|rcaps|90|Okasha/1993, 100, `predominantly capital script with the letters measuring 6 to 9 cm in height'.|EOGWL/1/1
FARDL|1|1|f|f|good|Okasha/1993, 106, `The painted texts are clearly legible but the original texts are probably rather deteriorated'.|f|vruu|2|n/a|arris|n/a|undecorated||inc||2|inc|If as Macalister/1945, 469 argues and as Okasha/1993, 107 accepts is a possible reading, the inscription should be read as SAFAQQUCI MAQI QICI, then the language of the inscription is goidelic. If, on the other hand, the inscription is read the other way around we simply have two names.|0|ogham||Thomas/1994, 267--268 arrives at a rather different reading of this ogham inscription from Okasha/1993 or Macalister/1945 because he claims that there are errors in the carving of the ogham letters.  If certain five stroke letters are reversed (Qs become Rs) then the name becomes a second form of the name in Roman capitals (FARDL/1/2).|FARDL/1/1
FARDL|1|2|f|f|good|Okasha/1993, 106, `The painted texts are clearly legible but the original texts are probably rather deteriorated'.|f|verd|2|n/a|broad|n/a|undecorated||inc||1|goide||0|rcaps|110|"Macalister/1945, 469, states that the O is written in such a way that it could be mistaken for a half-uncial D; the Q is of half-uncial shape; the N is of the H-form.

Okasha/1993, 103, states that the letters vary from 8cm to 11cm in height and are predominantly in a capital script."|FARDL/1/2
FARDL|1|3|f|f|good|"Okasha/1993, 106, `The painted texts are clearly legible but the original texts are probably rather deteriorated''.

There is disagreement between readings.  Jackson/1953, 187, stated the name was `too obscure or corrupt to make discussion profitable''."|t|verd|1|n/a|broad|n/a|undecorated||inc||1|name||0|rcaps|150|"Macalister/1945, 469, `...in which the G is of the sickle shape, the R is half-uncial, and the N of the H shape.''

Okasha/1993, 103, records that the letters vary from 12 to 15cm in height and are mainly in a capital script."|FARDL/1/3
