SITE|STONE|DISC_CIRC|DISC_WHEN|DISC_WHO|SUBSQ_HIST|CURRENT_SE|CURRENT_LO|LOC_NOTES|MON_FORM|FORM_NOTES|COMPLETENE|PRESERVATI|PRESCONDNO|M_SOURCE|M_HEIGHT|M_HT_STATU|M_WIDTH|M_WDTH_STA|M_THICKNES|M_THCK_STA|I_SOURCE|I_HT_FEET|I_HT_INCHE|I_HT_STATU|I_WD_FEET|I_WD_INCHE|I_WDTH_STA|I_TH_FEET|I_TH_INCHE|I_THCK_STA|STONE_TYPE|NO_CARVED|DECOR_NOTE|VISITED|id
ICLTA|11|first mentioned|1879|Board of Works|Earliest reference: Board of Works Report (1879--1880), not consulted.|in ground|earliest||slbbd||incomplete|some|"Macalister/1916, 157, `It is imperfect, as the upper dexter corner of the slab is broken away and lost''.

Macalister/1949, 90, `End [of the inscription] lost with a fracture of the upper dexter corner of the slab.''"|converted|1.37|actual|0.58|actual|0|inc|Macalister/1949|4|6|actual|1|11|actual|0|0|inc||1|"Macalister/1916, 157, `cross similar to the last, on a rectangular expanding base, closed below.''

The last being, `Latin cross with hollowed angles and expanding square base''."|t|ICLTA/11
ICLTA|12|first mentioned|1879|Board of Works|Earliest reference: Board of Works Report (1879--1880), not consulted.|in ground|earliest||slbbd||complete|good||converted|1.28|actual|0.51|actual|0|inc|Macalister/1949|4|2.5|actual|1|8|actual|0|0|inc||1|Macalister/1916, 157: `Cross similar to that on No. 56 [not CIIC 56], but with the top line of the base carried across the lower end of the stem... The cross is cut with broad, bold lines.'  No 56 is in turn `similar to the last, but having the ends open, and drawn with double lines throughout.'  `The last' is also `similar to the last' which is: `Latin cross hollowed at the angles; the bottom of the cross is open, and the lower ends bents outwards at right angles, and prolonged to meet the sides of the slab.' |t|ICLTA/12
ICLTA|13|first mentioned|1837|Wakeman, W. F.|Petrie/1878, 44: `Drawn from the stone by Mr. W. F. Wakeman for Dr. Petrie, in the year 1837.'|in display|on site||slbbd|Macalister/1916, 158: `A concrete foot has been made for this stone to stand upon in its present position in the church, and this at first sight looks like a projecting frame on the stone itself.'|complete|good||converted|1.49|actual|0.6|actual|0.08|actual|Macalister/1949|4|10.5|actual|1|11.5|actual|0|3|actual||1|"Macalister/1916, 158: `cross similar to the last, but cut in very broad, bold lines.  It seems as though it had been cut at first with double lines, and the space between them then excised.  The curves of the angle-hollows are, however, in single lines of normal breadth.  There is a pellet in each of these hollows.''

The `last'' was in turn similar to No. 58 (p. 157) which was `a Latin cross with hollowed angles and expanding square base open below''.

Macalister/1949, 90: `Similar cross, but with all terminals open, and with the curves of the angles in narrow lines, whereas the straight lines are bold and broad.''"|t|ICLTA/13
ICLTA|14|first mentioned|1837|Wakeman, W. F.|Petrie/1878, 44: `Drawn from the stone in the churchyard of Iniscealtra by Mr. W. F. Wakeman for Dr. Petrie, in the year 1837.'|in display|on site||slbbd||complete|good||converted|0.89|actual|0.38|actual|0.07|actual|Macalister/1949|2|11|actual|1|3|actual|0|2.75|actual||1|"Petrie/1878, 44: `The form of cross, which is carved on these slabs was not likely to be in use before the tenth century.''

Macalister/1916, 158: `a cross of similar to the preceding (in single lines) but with the sides of the base approximating to one another below.''

The preceding was a `cross similar to the last, but cut in very broad, bold lines.  It seems as though it had been cut at first with double lines, and the space between them then excised.  The curves of the angle-hollows are, however, in single lines of normal breadth.  These is a pellet in each of these hollows.''

The `last'' was in turn similar to No. 58 (p. 157) which was `a Latin cross with hollowed angles and expanding square base open below''.

This cross does not have pellets in the armpits.

Macalister/1949, 91: `Latin cross with hollowed angles and trapezium base.''"|t|ICLTA/14
ICLTA|15|first mentioned|1879|Board of Works|Earliest reference: Board of Works Report (1879--1880), not consulted.|in ground|earliest||slbbd||complete|good||converted|1.57|actual|0.56|actual|0|actual|Macalister/1949|5|2|actual|1|10|actual|0|0|actual||1|Macalister/1916, 158: `Cross with hollowed angles, standing on a triangular base with curved sides.  Two horizontal lines run off from the sides of the stem to the edge of the slab a little above the base.'|t|ICLTA/15
ICLTA|16|first mentioned|1879|Board of Works|Earliest reference: Board of Works Report (1879--1880), not consulted.|in ground|earliest||slbbd||complete|good|CISP:  Macalister/1916, pl. XIX, shows a fragment missing from the top right-hand corner of the stone.|converted|1.12|actual|0.43|actual|0|inc|Macalister/1949|3|8|actual|1|5|actual|0|0|inc||1|"Macalister/1916, 159: `...cross resembling those in previous slabs in a single-line panel.  The panel and head of the cross are open above.  Below, the panel has spirals at the corners, and an ornamental sinking, about 1/2 inch deep, fills the triangular space between the bottom line of the panel and the head of the stone.''

Macalister/1949, 91: `Latin cross with hollowed angles: base ornamentally treated.''"|t|ICLTA/16
ICLTA|17|first mentioned|1842|Wakeman,  W. F.|"Petrie/1878, 43: `An illustration of this stone has already been published by the late Earl of Dunraven, in his _Memorials of Adare Manor_ (p. 164), where it is stated that Dr. Petrie was of opinion that this cross belonged to the ninth or tenth century.  It has been described and illlustrated by Mr. W. F. Wakeman in his _Hand-Book of Irish Antiquities_, p. 96.

`Drawn by Mr. W. F. Wakeman for Dr. Petrie, in the year 1842.''

Macalister/1916, 161--162: `This stone is not actually lost, as we know where it is; but it is lost to Inis Cealtra.  It was removed by the late Lord Dunraven to Adare many years ago, apparently under the impression that the Conn whom it commemorates was the ancestor of the O''Quins...I have not seen [the stone].''

Macalister/1949, 91: `Now at Adare, Co. Limerick''.

CISP were unable to locate this stone during their visit in 1996."|lost|lost||slbbd||incomplete|some|Macalister/1916, 162: `The top of the stone is lost; its present length is said to be about 2 feet.'|n/a|0|ind|0|ind|0|ind|n/a|0|0|ind|0|0|ind|0|0|ind||1|"Petrie/1878, 43: `The design on this stone is a cross of bands, interlaced and forming a triquetra know at each extremity.''

Macalister/1916, 162: `The stone bears a Latin cross formed of a band doubled along the line of the arms, and interlacing into a knot, founded on the triquetra, at the terminals.  The stone of Daniel (Clonmacnois, No. 168) is similar, but differs in the treatment of the intersection.  The whole cross is in a single-line panel.''"|f|ICLTA/17
ICLTA|18|first mentioned|1879|Board of Works|Earliest reference: Board of Works Report (1879--1880), not consulted.|in ground|earliest||slbbd|Macalister/1916, 160: `It is remarkable that this is the only one of the more elaborate slabs [at Inis Cealtra] that bears an inscription.'|complete|some||converted|1.78|actual|0.46|actual|0|inc|Macalister/1949|5|10|actual|1|6|actual|0|0|inc||1|Macalister/1916, 160: `Latin cross with hollowed angles.  The upper cantons have a diaper of stepped lozenges.  The lower part of the slab is so worn that nothing of the design can be made out.'|t|ICLTA/18
ICLTA|19|first mentioned|1878|Petrie, G.|"Petrie/1878, 42: `This rough sketch was found by the Editor among Dr. Petrie''s MSS.  It is only valuable as being the record of a stone which has now disappeared.''

Macalister/1916, 162: `The slab is no longer on the island, and had apparently disappeared before the visit of the Board of Works, as it has no place in their report; neither is it mentioned by O''Conor or by Brash.''"|lost|lost||slbns||n/a|n/a||n/a||ind||ind||ind|n/a|||ind|||ind|||ind||1|Macalister/1916, 162: `The...rough sketch of Petrie's...represents a slab with a Greek cross, each terminating in two spirals, inscribed in a circle of two lines.'|f|ICLTA/19
IMRRY|1|first mentioned|1885|W. F. Wakeman||in ground|earliest||slbcr|Macalister/1949, 19: `Fragment of a slab'. |frgmntry|n/a||converted|0.22|actual|0.17|actual||n/a|Macalister/1949|0|8.75|actual|0|6.5|actual|||n/a||1|Macalister/1949, 19: `Fragment...bearing the central part of a Latin cross with a circle at the intersection and triangular expansions at the end of the arms'. |f|IMRRY/1
IMRRY|2|first mentioned|1885|W. F. Wakeman||in ground|earliest||ind||frgmntry|inc||converted|0.2|actual|0.15|actual||n/a|Macalister/1949|0|7.75|actual|0|6|actual|0||n/a||1|Macalister/1949, 19: `Fragment bearing a Latin cross with circular expansions at the intersection and triangular expansions at the terminals'. |f|IMRRY/2
IMRRY|3|first mentioned|1885|W. F. Wakeman||inc|inc||slbcr||incomplete|some|Macalister/1949, 20:`Lower part broken away.'|converted||n/a||n/a||n/a|Macalister/1949|||n/a|||n/a|||n/a||1|Macalister/1949, 20, `slab bearing a peculiar latin cross, the arms of the shape of drops of dripping oil'.|f|IMRRY/3
IMRRY|4|first mentioned|1885|W. F. Wakeman||unattch|earliest|Macalister/1949, 20, `lying on the altar of the church known as Teach Molaise'.|slbcr|Macalister/1949, 20: `Slab'.|inc|inc||converted||n/a||n/a||n/a|Macalister/1949|||n/a|||n/a|||n/a||1|Macalister/1949, 20:`...a cross bearing a circular expansion at the centre on one face, and on the other an inscription...'. |f|IMRRY/4
IMRRY|5|first mentioned|1885|W. F. Wakeman||unattch|earliest|Macalister/1949, 20, notes that, as in the case of IMRRY/4, this stone is on the altar of _Teach Molaise_'.|slbcr|Macalister/1949, 20, `slab'.|inc|inc||converted||n/a||n/a||n/a|Macalister/1949|||n/a|||n/a|||n/a||1|Macalister/1949, 20: `...a Latin wheel-cross on one face'. |f|IMRRY/5
IMRRY|6|first mentioned|1885|W. F. Wakeman||unattch|earliest|Macalister/1949, 20, like IMRRY/5, this is also, `on the altar of _Teach Molaise_'. |slbns||inc|inc||converted|0.41|actual|0.2|actual||n/a|Macalister/1949|1|4|actual|0|8|actual|||n/a||0||f|IMRRY/6
IMRRY|7|first mentioned|1885|W. F. Wakeman|Macalister/1949, 21: `...in the `Cemetery of the Men'. |in ground|earliest|Macalister/1949, 21: `...in the `Cemetery of the Men'. |slbns||inc|inc||converted||n/a||n/a||inc|Macalister/1949|||n/a|||n/a|||inc||0||f|IMRRY/7
IMRRY|8|non-arch dig|1885|W. F. Wakeman|Macalister/1949, 21: `..dug up in 1885 in making a grave in `the Cemetery of Women'. |inc|on site||pilsp|Macalister/1949, 21: `...a fragment of a pillar stone'. |frgmntry|inc||converted|0.83|actual|0.25|actual|0.1|actual|Macalister/1949|2|8.5|actual|0|10|actual|0|4|actual||0||f|IMRRY/8
INAGH|1|first mentioned|1945|O'Donoghue, Mr.|Macalister/1945, 219, `discovered by Mr. O'Donoghue of Lomanagh, one of Captain O'Connell's assistants in his survey of Kerry, who kindly conducted me to the site.'|on ground|on site|Macalister/1945, 219, `now prostrate in a field above a cottage on the townland'.|pillp||complete|good||converted|2.74|actual|0.89|actual|0.38|actual|Macalister/1945|9|0|actual|2|11|actual|1|3|actual||0||f|INAGH/1
INBOF|1|first mentioned|1917|H. S. Crawford|Macalister/1949, 79, states that the stone was first published by Crawford in 1917, and that he `found [this stone] when I visited the Island'.|inc|inc||slbcr|Macalister/1949, 79: `Slab'. |frgmntry|poor|Macalister/1949, 79: `broken into three fragments'. |converted|1.07|uncertain|0.64|uncertain||n/a|Macalister/1949|3|6|uncertain|2|1|uncertain|0||n/a||1|Macalister/1949, 79: `...a wheel cross, with looped ends to the lower terminal'. |f|INBOF/1
INBOF|2|first mentioned|1917|H. S. Crawford||in ground|earliest||slbcr||inc|inc||converted|0.53|actual|0.36|actual||n/a|Macalister/1949|1|9|actual|1|2|actual|0||n/a||1|Macalister/1949, 79: `...a wheel-like cross fitchee,  small spirals at the terminals'. |f|INBOF/2
INBOF|3|first mentioned|1917|H. S. Crawford||inc|inc||fragy|Macalister/1949, 80: `Fragment with the ends of two lines'. |frgmntry|inc||converted|0.28|actual|0.01|actual||n/a|Macalister/1949|0|11|actual|0|0.5|actual|0||n/a||0||f|INBOF/3
INCHA|1|first mentioned|1839|G. Petrie|Petrie/1878, 10, states that a letter dated June 9 1839 between Petrie and O'Donovan discusses this stone, and that it was drawn at around this time.|in ground|earliest|Cuppage/etal/1986, 264, `now arranged [with the other BLTAG stones] in a circle within the enclosure [on site]'.|pilsc|Moloney/1964, 99, `It stands to the south-east of the oratory|incomplete|some|"First recorded in Pelham/1804, 224-225.

Macalister/1945, 157 and Cuppage/etal/1986, 44, record the stone as still in it''s earliest position.."|converted|0.71|visible|0.25|actual|0.15|actual|Macalister/1945|2|4|visible|0|10|actual|0|6|actual||4|Cuppage/etal/1986, 264, `now arranged [with the other BLTAG stones] in a circle within the enclosure [on site]'.|f|INCHA/1
KBRCN|8|first mentioned|1878|G. Petrie||in ground|earliest|Higgins/1987, 372, 'This stone is located within the graveyard at Temple Brecan some distance to the S. E. of Temple Brecan itself, on Inishmore, Aran Islands'. |slbcr||complete|good||Higgins/1987|0.82|actual|0.32|actual|0.12|actual|converted|2|8.25|actual|1|0.5|actual|0|4.75|actual||1|Higgins/1987, 372, comments on the ornament on the arms and ring of the cross: `The head of the cross has rectangular terminals and has three lobes or rolls, one in each of the interspaces between the arm and the ring'. |f|KBRCN/8
KLCOO|1|first mentioned|1879|Wakeman|Macalister/1949, 125: `Wakeman [in 1879] reports that of twelve or fourteen inscribed stones formerly lying about on ecclesiastical ruins at this place, all but three were destroyed, unrecorded, by a contractor making a drain...Still on the site'.|inc|on site|Macalister/1949, 125, `Still on the site'.|slbns||complete|inc||converted|0.8|actual|0.37|actual|0.18|actual|Macalister/1949|2|7.5|actual|1|2.5|actual|0|7|actual||1|Macalister/1949, 125, `A Latin cross on one of the broad faces, having a lozenge shaped expansion in the centre and circular expansions at the terminals.'|f|KLCOO/1
INCHY|1|recognised|1945|H. de Pass|Forsyth/1996, 33: `...found during ploughing in former parkland on the Carse of Gowrie, 120 m south of Inchyra House...It is clear the slab was covering an inhumation burial...'. The slb weas removed from the site and goven to the Perth museum, whee it is on display. |in display|museum|Forsyth/1996, 333: `...Harold de Pass presented the stone to Perth Museum where it is now on display'. |slbns|Forsyth/1996, 336: `A long, thin, tapering, rectangular slab incised on both broad faces'.  |incomplete|some|Fosryth/1996, 226: `Narrow end intact but broad end broken, and a portion missing'. |Forsyth/1996|1.6|actual|0.31|actual|0.43|actual|converted|5|3|actual|1|0.25|actual|1|5|actual||2|"Forsyth/1996, 337--340: `I will follow Stevenson in desginating the smooth surface the front, but this is merely conventional and is not meant to imply that the carving on this side is primary''.

`Front'': `At the narrow end there is one pair orientated with that end as the top, namely a notched double-disc, and a fish. Positioned very close to the top of the slab, they are the most substantial and finely drawn of all the Inchyra symbols...At the other end of this face, orientated with the broad end as a top, is an indistinct group of symbols which wee not noticed at first. The lowest is a mirror and, above that, the remains of a ''tuning-fork'' symbol. These carvings have been plausibly presented as both incomplete and partially defaced, as of, as Wainwright suggests, the carver had a change of heart before completing the design...A possible reason for the abandonment of the enterprise lies in the flaky nature of the stone...

`Back''/Rough Face: `Though this is the rougher of the two broad faces there has, as Stevenson noted, been some preparatory smoothing of the stone before carving. The carving consists of a single pair of symbols at the broken end of the slab orientated with the broad end to the top. The pair comprises  serpent below a fish, the upper part of which has been lost at the fracture. Though somewhat less well drawn than the first pair described, these do have the appearance of being finished...
The six symbols are organised into three pairs: notched-double disc above fish, fish above serpent, and ''tuning-fork'' above mirror''. "|f|INCHY/1
INCLO|1|first mentioned|1900|F. J. Bigger||inc|inc||slbcr||complete|inc||converted|0.67|actual|0.53|actual|||Macalister/1949|2|2.5|actual|1|9|actual|0||||1|Macalister/1949, 29: `...a cross of the eleventh-century Clonmacnois type, with key-patternm expansions'. |f|INCLO/1
INDQS|1|first mentioned|1754|W. Borlase|Okasha/1993, 124, `The stone was first mentioned in 1754 by W. Borlase; it was then `about four miles East of Michel'.  It was still there in 1824...In August 1872 the stone was described as, `In the vicinity of the inn', that is, the Indian Queen Inn. ...In 1906 Langdon stated that the stone `has been used as a gatepost', ...In 1930 Henderson noted that the stone would soon have to be moved `on account of a road-widening scheme'.  Some years later, however, when the road was widened, the stone was left `in the pathway, where it was an obstruction and in danger of damage'.  On 15 February 1939 it was moved about 0.8km. into `the enclosure of the Church of St. Francis', that is, to its present position'.|in ground|other|Okasha/1993, 122, `The stone is now in the front garden of Indian Queen's church [as of 6/7/84]'.|pilsp|Okasha/1993, 123, `The stone is a pillar-stone, complete and uncarved.'|complete|some|Okasha/1993, 122, `there is...a modern hole on the inscribed face'.|Okasha/1993|1.65|visible|0.5|actual|0.33|actual|Macalister/1945|5|8|visible|1|7|actual||8|actual||0||f|INDQS/1
INDRE|1|non-arch dig|1859|M. Hermann|Costa/1964, 241, the stone was found by M. Hermann in 1859 and is now at the Musee Dobree inv. no. 859-16-10.|in display|museum|Costa/1964, 241, the stone is now at the Dobree Museum inv. no. 859-16-10.|pillc||incomplete|some|There is a large fracture in the stone breaking off the bottom right corner from the main piece. The stone is also quite worn making part of the inscription difficult to read.|Costa/1964|1.81|actual|0.66|actual|0|uncertain|converted|5|11.25|actual|2|2|actual|0|0|uncertain||1|The photo in Costa/1964, 241, shows a double framing line running around the stone; two sets of parallel lines running across the stone towards the top, the latter with what appears to be some sort of decoration; the bottom corners are each filled with a double-lined circle, while a similar circle is placed just below the central cross. Some more marks are below this cirlce but from the photo it is uncertain if these are decoration ot damage.|f|INDRE/1
INVIC|1|recognised|1878|J. Windele||in display|museum|Cuppage/etal/1986, 301, states the stone is now in the Library of Trinity College, Dublin.|pilsp||complete|good||Cupage/etal/1986|1.05|actual|0.15|actual|0.18|actual|converted|3|5.25|actual|0|6|actual|0|7|actual||4|Macalister/1945, 179, `Crosses are cut on all four faces, inverted with respect to the inscription: one of them is of swastika form'.|f|INVIC/1
INVIC|2|first mentioned|1903|R.A.S. Macalister|Macalister/1949, 96, records that he first published the stone in 1903, and that when he `saw it [it] was lying on the S. wall of the ruined oratory, on this island'.|lost|lost|"Macalister/1949, 96, records that it was lying on the S. wall of the ruined oratory church''.

Cuppage/etal/1986, 301, `now missing''."|slbns||n/a|n/a||converted||n/a||n/a||n/a|Macalister/1949|||n/a|||n/a|||n/a||0||f|INVIC/2
ISLAN|1|first mentioned|1898|Rhys||in ground|inc|Macalister/1945, 5: '...standing on the top of a low mound, apparently an artificial tumulus'. As the result of digging around its base, the stone had slipped, and now 'stands at a slope of about 75 degrees'.|pilsp| |complete|good|Macalister/1945, 5 notes this inscription is 'injured by wear and chipping', but that, nevertheless, the reading is 'certain'. |converted|1.6|visible|0.56|actual|0.56|actual|Macalister/1945|5|3|visible|1|10|actual|1|10|actual||0||f|ISLAN/1
ITNNG|1|first mentioned|1986|J. Cuppage|Cuppage/etal/1986, 295--297, is the first record of the stone and states that the slab `has now been placed in the main oratory for safe-keeping and...[its] original position is unknown'.|in display|on site|Cuppage/etal/1986, 295, `now been placed in the main oratory'.|slbcr||incomplete|poor|Cuppage/etal/1986, 297, `It is broken in at least three pieces and it is not clear how the pieces fit together'.|Cuppage/etal/1986||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|ITNNG/1
KENFG|1|first mentioned|1578|Merrick|"Brash/1869, 151, `The first of these inscriptions noticed as Ogham was that on the pillar-stone near Kenfegge, in Glamorganshire, discovered by Mr. J. O. Westwood, and a drawing and description of which was supplied by that gentleman to the _Arch. Camb._, i, p. 182. This monument was well known before Mr. Westwood''s paper.''

Westwood/1879, 19, `This stone stands upon the grass-sward at the side of the road, supposed to be identical with the Via Julia Maritima, between Kenfig (Kenfegge or Kenfyg) and Margam, near the Pyle Station, without any protection. It is called by the peasantry of the neighbourhood Bêdh Morgan Morganwg, i . e. the sepulchre of Prince Morgan...This stone was first noticed by Bishop Francis Godwin, Bishop of Llandaff, in a letter to Camden, preserved among the Cottonian MSS. in the British Museum (Julius F. vi. fol. 282), and published by Camden, ed. vi. p. 499.[1]...The inscription,'' says Gibson (Camden, ii. p. 23), is now in the same place and is called by the common people Bêdh Morgan Morganwg, viz, the sepulchre of Prince Morgan, who was slain, as they would have it, 800 yeeres before Christ''s nativity, which whatever gave occasion to it, is doubtless an erroneous tradition, but antiquaries know full well that these characters and formes of letters be of a farre later date, it being no other than the tomb stone of one Pompeius Carantorius.''

`[1] Besides the figure of this stone given in the various editions of Camden''s Britannia, others have been published by Strange in the Archaeologia, vol. vi. 1782, p. 17, and in Gent. Mag. vol. lv. 1785, p. 502, tab. ann. fig. 2; and by Donovan, Tour in South Wales, vol. ii. p. 30, fig. opposite p. 24.''

Rhys/1899, 136, `N.B.---The stone, where it now stands by the roadside, is liable to be damaged, as it is a target for boys to throw stones at, and to be maltreated in other ways. It would be a very good thing if it could be placed with the other epigraphic treasures in the church.''

Macalister in Anon/1928,  374, `It has...long been known as a landmark beside the road from Margam to Pyle.  It should not be left there much longer, however, for in these days of motor lorries an unfortunate side-slip might utterly destroy it.''

Macalister/1945, 385, `Formerly on the west side of the road from Pyle to Margam, and about half-way between those places.  In Lhuyd''s time it lay as a bridge over a ditch: Gibson describes it as lying by the wayside between Margam and Kynfyg: and it was erected by the roadside by `the Rev. Mr. Williams of Margam'' according to Gough, where it was standing in 1761.  Now moved for safety to the lapidary museum at Margam.''

Nash-Williams/1950, 132, `KENFIG...Water Street (near Eglwys Nunydd).''

RCAHMW/1976, 38, `Its original location near Eglwys Nynnid was attested in 1578,[1] but it would seem to have been set up (or re-set) beside the road known as Water Street in the mid-18th century.[2] It is now in Margam Museum.

`[1] Merrick, Morg. Arch., p. 5; cf. Lhuyd, Parochialia, III, p. 225. For the place-name, see Arch. Camb., CXVIII (1969), pp. 144-5. No. 921 is also from this spot.

`[2] Camden, Britannia (ed. Gough), II, p. 495.''"|in display|museum|Nash-Williams/1950, 132, `The stone is in Margam Abbey Museum.'|pilsp|"Brash/1869, 151, `It is an undressed monolith, standing on the side of the road between Kenfegge and Margam, about 4 ft. 6 ins, in height above ground''.

Westwood/1879, 19, `It is 4 feet 4 inches high on the back side of the stone, the top sloping to the front, which is 4 feet high ; it is 20 inches broad and 15 inches thick''.

Nash-Williams/1950, 132, `Roughly quadrangular pillar-stone. 60+'" h. x 11--15'" w. x 16--21'" t. Ogam and Latin inscriptions.''

RCAHMW/1976, 38, `A roughly squared pillar-stone...with Ogam and Latin inscriptions. It is 1.35m above ground at its highest edge, 35cm wide on the inscribed face, and 52cm tapering to 45cm in thickness...A bench-mark has been cut on the adjacent right-hand face.''"|complete|some|Westwood/1879, 19, `it has been somewhat injured at the upper left-hand angle.'|RCAHMW/1976|1.35|visible|0.52|actual|0.35|actual|Macalister/1945|6|6|visible|1|6.5|actual|1|3|actual||0||t|KENFG/1
JRDNS|1|recognised|1896|Evans, Mr.|"Anon/1898, 285--286, `In an outbuilding behind Llangwarren House, a newly-discovered ancient inscribed stone was uncovered.  This stone was first observed by Mr. Edward Evans, of Parselle, and was recognised by him to be a stone of archaeological interest.  A wall had been built partially over it, concealing the second line of the inscription, and it was left for Mr. Charles Mathias, of Lamphey Court, the owner of Llangwarren, to remove the wall and fully expose the monument...It is, we understand, the intention...to have the stone placed on the lawn at Llangwarren.''

RCAHMW/1925, 130, `In 1896 an inscribed stone was discovered doing duty as a gate post on the Llangwarren estate in this parish; it has since been removed into the parish church.''

Macalister/1945, 413, `The stone, when first discovered, by Mr. Evans of Parselau, was used as a gatepost : two holes drilled in it, are the relics of that use.''"|in struct|other|"Macalister/1945, 412, `Standing at the corner of an outhouse in Llangwarren farmyard, about six miles from Fishguard''.

Nash-Williams/1950, 186, `Built into external corner of stable adjoining Llangwarren House.''"|pilsp|"Macalister/1945, 412, `a pillar''.

Nash-Williams/1950, 186, `Rough pillar-stone. 69'" h. x '" 24 w. x 12'" t.''"|complete|good|Macalister/1945, 413, notes the stone has two holes drilled in it for hinges from when it was used as a gatepost.|converted|1.45|visible|0.58|actual|0.25|actual|Macalister/1945|4|9|visible|1|11|actual|0|9.75|actual||0||f|JRDNS/1
KBRCN|1|first mentioned|1878|G. Petrie||in display|earliest|Higgins/1987, 358: `This well known stone lies recumbent on Leaba Breacain or St. Brecan's Bed at Temple Brecan, Inishmore, Aran Islands'. |slbbd|Higgins/1987, 358; `...a large rectangular slab'.  |incomplete|some|"Macalister/1949, 5: `The dexter upper canton is damaged and the lower canton on the same side broken away. When I first saw the stone, in 1895, the cross and the inscription were in perfect order, except for the fracture indicated: but since then they have been almost entirely defaced, apparently by boys treating the stone as a slide''.

Higgins/1987, 358: `...about half of it has been broken away, but the majority of the carved area remains''. "|Higgins/1987|1.12|actual|0.7|actual|0.14|actual|converted|3|8|actual|2|3.5|actual|0|5.5|actual||1|Higgins/1987, 358: `The stone bears a two-line Greek cross enclosed by a double ring. The terminals of this, which are wedge-shaped, are cut by the innermost of these rings and are delimited by a groove and bears a small, centrally placed `cup mark' or depression'.  |f|KBRCN/1
KBRCN|2|first mentioned|1878|G. Petrie||lost|lost|Higgins/1987, 368: `This stone used to be at Temple Brecan, Inishmore, Aran Islands but is now lost'. On account of the slab's recorded size Higgins finds it unlikely that it has been removed from the site, `It is likely to be buried somewhere in the graveyard at the site'. |inc|Higgins/1987, 368: `According to Petrie (1878) it was a very large slab'. |inc|inc||Petrie/1878|1.93|uncertain|0.85|uncertain||uncertain|converted|6|4|uncertain|2|9.5|uncertain|||uncertain||1|"As the stone has been lost all assessments of the decoration are based upon the illustrations of Petrie/1878, Pl. XIII. Higgins1987, 368: `...a rather elaborate cross of Latin form. The cross itself is ringed and has a three-line shaft and two single-line arms each of which terminates in a ringed cross. The upper arms have an encircled Greek cross. The form of the terminal at the top of the cross is unknown as the slab is damaged in this area. The shaft rises from a trapezoidal, two-line case, the bottom of which is missing due to damage. The junction of the arms and shaft has a central roundel intersected by the transom of the cross, surrounded by a concentric annular ring deriving from the shaft of the cross''.
.
"|f|KBRCN/2
KBRCN|3|first mentioned|1875|Ferguson||in ground|earliest|"Higgins/1987, 307: `This is a weathered rectangular slab of limestone standing near Leaba Bhreacain at Temple Brecan, Na Seacht d''Tempaill, Inishmore, Aran Islands...the stone is set deep in the ground''.
"|slbcr|Higgins/1987, 307: `a weathered subrectangular slab'. |complete|good||converted|0.81|visible|0.33|visible|0.08|visible|Macalister/1949|2|8|visible|1|1|visible|0|3.25|visible||1|Higgins/1987, 307: `The stone bears a single-line Latin cross fourchee and there is a small roundel of stone at the junction run out at the edges of the stone...The terminals are semi-circular in shape and splay widely outwards'. |f|KBRCN/3
KBRCN|4|first mentioned|1878|G. Petrie||in struct|other|Higgins/1987, 382, records that this stone is now `incorporated into the interior of the west wall of Temple Brecan on Inishmore, Aran Islands'. |slbns|Higgins/1987, 382:`... a semi-rectangular slab'. |inc|inc||Higgins/1987|1.18|actual|0.14|actual|0|n/a|converted|3|10.5|actual|0|5.5|actual|0|0|n/a||0||f|KBRCN/4
KBRCN|5|first mentioned|18|G. Petrie||in ground|earliest|Higgins/1987, 363: `This stone stands upright in the graveyard at Temple Brecan, Inishmore, Aran Islands'. |pilsp|Higgins/1987, 363: `...a large, roughly rectangular slab'.|inc|good||converted|1.42|actual|0.51|actual|0.13|actual|Macalister/1949|4|8|actual|1|8|actual|0|5|actual||1||f|KBRCN/5
KBRCN|6|first mentioned|1878|G. Petrie||lost|museum|Higgins/1987, 359: `This tone used to be at Temple Brecan, Aran Islands but is now in the Ulster Museum, Belfast, having been acquired there as part of the Grainger Collection'. |fragy|Higgins/1987, 359: `a fragmentary slab of limestone'. |frgmntry|inc||Higgins/1987|0.48|actual|0.33|actual|0.65|actual|converted|1|7|actual|1|1|actual|2|1.5|actual||1|Higgins/1987, 359: `Two outer lines encircle the cross. Inside these there is a single-line cross with two-line `thistle' shaped angles under each arm. At the junction of the lines of the cross there is a single-line circle inside of which there is a circular depression'. |f|KBRCN/6
KBRCN|7|first mentioned|1878|G. Petrie||inc|inc|Higgins/1987, 324, `This large rectangular slab of stone is located in the graveyard at Temple Brecan, Na Seacht dTeampuill, Inishmore, Aran Islands'. |slbcr|Higgins/1987, 328, a `large rectangular slab'. |frgmntry|poor||Higgins/1987|1.4|actual|0.56|actual|0.12|actual|converted|4|7|actual|1|10|actual|0|4.75|actual||1|"Macalister/1949, 7: `...a two line Latin cross having circular expansions in the intersections and at the terminals''.

Higgins/1987, 324, notes that both inscription and cross have been subject to widely differing interpretations. He himself disagrees with Macalister, `The crosses fourchee, shown in the two upper cantons of Macalister''s drawing do not exist, though a pair of narrow, incised lines of indeterminate length do''. "|f|KBRCN/7
