"SITE"|"NAME"|"CEL_NAME"|"PLACE"|"CEL_PLACE"|"PARISH"|"CEL_PARISH"|"COUNTY"|"CEL_COUNTY"|"COUNTRY"|"HEIGHTOD"|"SITE_TYPE"|"SITE_DESCR"|"SITE_HISTO"|"Site Address"|"grid"|"easting"|"northing"|"lat"|"lon"
"LPHIN"|"Logie Elphinstone"|"inc"|"Logie Elphinstone"|"inc"|"Chapel of Garioch"|"inc"|"Aberdeenshire"|"inc"|"Scotland"|NULL|"lands"|"Forsyth/1996, 385: `According to Stuart there were formerly four stones lying `a short distance from one another' on the Moor of Carden to the west of their current position (quoting the New Statistical Account of Aberdeenshire, 1832, p. 638). About 1821 the moor was planted and the stones built into the enclosing wall of one of the plantations. They were later erected in the garden of Logie Elphinstone House'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LSADW"|"Llansadwrn"|"Llansadwrn"|"Llansadwrn"|"Llansadwrn"|"Llansadwrn"|"Llansadwrn"|"Anglesey"|"Sir Fon"|"Wales"|NULL|"eccle"|"RCAHM/1937, 109-110, 'Parish church of St. Sadwrn stands near the middle of the parish and consists of a continuous chancel and nave with a N. chapel and N. porch. It was re-built in 1881 on the old foundations and the North Porch was then added. The Chapel is of uncertain date; it is probable that the Chancel and Nave represent the extent of the original church. The roof of the chapel has been reconstructed but retains some older arch-braced trusses, and four similar trusses remain in the nave.'"|"Edwards/1986, 22, Williams/1980, 19 and Miller/1979, 11 all argue that Saturninus may have founded a religious community at the site in the sixth century."|NULL|NULL|NULL|NULL|NULL|NULL
"LSADY"|"Llansadyrnin"|"Llansadyrnin"|"Llansadyrnin"|"Llansadyrnin"|"Llansadyrnin"|"Llansadyrnin"|"Carmarthenshire"|"Sir Gar"|"Wales"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LTING"|"Lunnasting"|"inc"|"Lunnasting"|"inc"|"Shetland"|"inc"|"Shetland"|"inc"|"Scotland"|NULL|"inc"|"Forsyth/1996, 402: `The precise find-spot of the stone is unknown, but it was explicitly stated to be a 'distance of some miles from any known ruins' [Brash 365]. The remains of a possible monastery have been identified at 'Chapel Knowe', Lunna (NGR HU 485 691), but, though it may provide a general context for the stone, there is nothing which links the two more directly (MacDonmald & Laing 1968: 127-8; RCAHMS 1948: 77-8 No. 1280: Small et al.1973: 9)'.  "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LTRIS"|"Ty'n Rossydd"|"Ty'n Rossydd"|"Ty'n Rossydd"|"Ty'n Rossydd"|"Llantrisant"|"Llantrisant"|"Anglesey"|"Sir Fon"|"Wales"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LTWIT"|"Llantwit Major"|"Llanilltud Fawr"|"Llantwit Major"|"Llanilltud Fawr"|"Llantwit Major"|"Llanilltud Fawr"|"Glamorganshire"|"Sir Morgannwg"|"Wales"|NULL|"eccle"|"RomillyAllen/1889, 118, `In a district so richly endowed with ancient remains of this class, there is no group of relics of the British Church in Wales of such transcendent interest as the one now before you, whether looked at from the point of view of the historian, the archaeologist, or the artist.  Similar collections of crosses are, indeed, to be seen in the neighbourhood at Margam, at Merthyr Mawr, and at Coychurch, but none of these places have the associations which still cling to the lichen-stained memorials of the past at Llantwit.  If modern research forbids us assigning these monuments to the far back age of St Iltyd, of Samson of Dol, of Cadoc of Llancarvan, or of Gildas, the father of Welsh history, their inscriptions bear witness to the advance in learning, and their decorative features to the art-culture, which in the fullness of time were the fruit borne by the labours of the first teachers of Christianity in Glamorganshire.'

Halliday/1900 provides an extensive description of the present church.

Halliday/1903 provides an account of the moving of the Illtud stone [LTWIT/2] and the archaeological remains associated with it including a cist grave.

Anon/1913, 89--90, `Llantwit Major is remarkable for a striking series of buildings, which, lying in a deep valley below the town, presents a minature representation of the grand group of St. David's.  The strange elongated pile of the church (itself a remarkable accumulation of distinct buildings) is flanked towards the south by the remains of the thirteenth century Gate-house, and a wall a few feet high forms a boundary fence.  The great tithe-barn of the same period, mentioned in earlier accounts, was pulled down some years ago.

`The church occupies the site of one of the earliest Christian foundations in Wales.  A great monastic institution of the early British type, at once the headquaters of missionary effort and the seat of a democratic university, grew up here in the early part of the sixth century.  No trace of this early timber-built monastery now exists.

`The architectural peculiarities of the church, characterised by its extraordinary length with a singularly short nave, for a long time puzzled archaeologists, including Freeman, J. H. Parker &c., a special puzzle being the long extent of the building west of the present nave, and particularly the erection at the extreme west end.  Was it domestic or ecclesiastical?

`The following briefly represents the interpretation now generally accepted, to which the restoration in 1900 under Mr. G. E. Halliday's able direction has materially contributed.  The visitors were fortunate in having Mr. G. E. Halliday and the Vicar, Rev. H. Morris as guides:---

`The present church consists of three distinct parts : (1) a chancel, a nave, north and south aisles, and a tower inserted in the west end; (2) a Western church, known locally as the ``Old Church,'' with an unusually large south porch and parvise; and (3) further west, but now ruinous, the Ragland chantry, with a sacristan's lodging attached on the north side.

`Before this restoration of 1900 it was maintained on architectural grounds against local tradition that the Eastern church was the earliest portion, and that the Western church was wrongly called the ``Old Church.'' Mr Halliday, on the ground of discoveries made in 1900, proves that the tradition was not entirely erroneous.

`1. The inner door of the south porch of the Western church is the oldest part of the present building, being, in fact, the south door of a pre-Norman nave, and the lower tiers of the masonry of this part being probably portions of the pre-Norman church, built on a cruciform plan with transepts.

`2. To this was added, at the very beginning of the 13th century, a central tower.

`3. The chancel of this early church, later in that century, was removed to make room for a conventual church, the Norman transepts were extended eastwards to form a north aisle and a south aisle (reaching two bays further than  present), while the early nave was elongated westward.

`4. Late in the fourteenth century the two eastern bays of the south arcade were built up, a chancel arch with its two squints inserted.

`5.  In the fifteenth century the Western, or ``Old Church'' (but not the so-called ``Lady Chapel'' at the extreme west) was entirely rebuilt on the old foundations from about two feet above the ground-line.

`At the east end of the south aisle of the Eastern church is a niche of the early thirteenth century, a perfect example of the work of that period.  It is not _in situ_, having been moved several times.  It is now set into and partly projects from the wall.  On each side of the niche is a vine, climbing up and twisting round the heads of 14 crowned personages, seven on each side, some with beards, others without; and at the central point of the highest portion is the head of the Saviour, with the crossed nimbus, bearded.  The bottom of the nic"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LTYSL"|"Llantysilio-yn-Ial"|"Llantysilio-yn-Ial"|"Llantysilio-yn-Ial"|"Llantysilio-yn-Ial"|NULL|"inc"|"Denbighshire"|"Sir Tinbych"|"Wales"|NULL|"lands"|"Macalister/1949, 145--146, `standing on a low mound of earth and stones, in the third field to the north of Valle Crucis Abbey...in...excavation...a stone cist was discovered, containing a skeleton and what is described as `a large piece of silver coin', which `was kept': though it would be futile to try and find where it is now. The skull was taken to Trevor Hall, and there gilded `to preserve it': after which it was restored to the tumulus. This interment [sic] must have been older than the time of Concenn, who simply adapted a burial-mound already existing...These facts were ascertained in 1827 from a man who was engaged in the excavation'.

Nash-Williams/1950, 125, `Excavation made in the mound at the time of the re-erection revealed `a sort of stone box or coffin' containing an inhumation burial, presumably of Eliseg himself'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LUGUL"|"Lugnagappul"|"Log Na gCapall"|"Lugnagappul"|"inc"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 183: `A mound of earth and stones, now much degraded, with a row of three standing stones running in a line north and south on the eastern side, and a fourth stone to the N.W.  The two northern stones are inscribed.'

Cuppage/etal/1986, 255: `Cnoc na Fola is a low, sub-rectangular cairn located on the low ridge overlooking Minard to S.  The level field in which it occurs is named Páirc na Fola and was traditionally the scene of a bloody battle in ancient times.  The cairn reputedly marks the graves of those slain.  It measures 7.4 x 8.2m and is .6m high.  The cairn material is a mixture of earth and stones many of which are quartz.  Four low standing stones occur along the perimeter and 3  further prostrate slabs may formerly have stood upright.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LUNDY"|"Beacon Hill"|"inc"|"Lundy Island"|"inc"|NULL|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"eccle"|"The following notes are taken from Thomas/1994, chapter 10.

Island of Lundy is in the Bristol Channel  16 miles from Ilfracombe.  It is 3 miles long (N-S) and 0.5 miles wide (E-W).  It is isolated but highly visible rising to 463 mOD.

There was, by the 13th century, a church dedicated to St Helen or Helena which by the 16th c. was under the aegis of Cleeve Abbey.  A `much battered granite cell', 14 by 25 feet is still visible.  

The present walled graveyard was used until recently, with graves being dug within and without the church.  The modern dry-stone wall was built by Trinity House, but overlies an earlier enclosure thought by Thomas to be an early medieval lann.  This is still visible to the SW of the enclosure.

Traces of two celtic field systems survive on the Island, one partly underlying the cemetery."|"Cemetary partly excavated in 1961 by K. S. Gardner and A. Langham.

Island bought by National Trust in 1968.

Site further excavated by A. C. Thomas in 1969.  The following account is taken by from Thomas/1994, chapter 10.

Excavation showed that the early cemetary had at least 100 long cist graves of early Christian character. Some were small as if for children.  Re-examination of archive by ACT in 1990 revealed five phases:

1. Roman-British circular hut---now largely destroyed but traces remain; pattern re-inforced by finds.

2. Hut walls destroyed to create a rectangular enclosure 11' N--S by 7--8' E--W within which a cist grave was constructed aligned E--W.  The whole was then filled with granite pebbles to a depth of 3'.  The whole forms a special grave, perhaps a 'cella memoriae' (cell of a grave monument).  Two other burials to the west, also in cists made from the original Romano-British hut may be contemporary.

3. 50--100 years later, the 'cella' was broken open.  The largest slab on the southern edge was swung through 90 degrees and the granite pebbles removed.  The lid of the cist was then removed and the bones taken away.  Thomas believes this to be a `translatio' (removal of a saints bones).

4. Further graves dug near the cella.

5. Still more graves dug near the cella.

ACT interprets the main feature in phase 2 as being a burial of an important christian figure in an existing burial ground.  The bones were then removed as relics.  ACT believes the island was the home of small ecclesiastical community which came into being by  AD 480--500.  Lundy's absence in the later record is perhaps because in ceased to function as a religious house in the 7th century."|NULL|NULL|NULL|NULL|NULL|NULL
"LUSTL"|"Lustleigh"|"inc"|"Lustleigh"|"inc"|"Lustleigh"|"inc"|"Devon"|"inc"|"England"|NULL|"eccle"|"Swanton/Pearce/1982, 140, `The settlement of Lustleigh lies at about 76m above sea level on the east side of the Bovery valley, which divides the main extent of morrland Dartmoor on the west from the upland parishes between the Teign and the Bovey on the east'."|"Swanton/Pearce/1982, 140, `the south porch appears to have been a thirteenth century addition...The Lustleigh churchyard shows all the classic features of an Early Christian enclosed graveyard of the type well known in Cornwall and Wales, and probably also in north Devon...The earliest datable object now at the site, apart from the stone, is the inner part of the font which has Norman cable-moulding, and hints at the existance of an immediate post-Conquest church building...King Alfred's will, c. 881 AD lists an estate called _Sutheswyrthe_...the same name, in the form _Sutrewortha_, appears in the Devon Domesday Record, and...beyond all reasonable doubt...this estate was that subsequently known as Lustleigh...We may presume therefore that by the second half of the ninth century _Sutheswrythe_ was a recognised estate with legal boundaries...it seems a reasonable proposition that the ecclesiastical parish boundary preserved the boundary of the estate as it was in Alfred's time...native British estates...passed into Saxon hands soon after AD 650-700, and Lustleigh looks as if it, too, may have been one of these'."|NULL|NULL|NULL|NULL|NULL|NULL
"LUWCH"|"Caer Gai"|"Caer Gai"|"Bala"|"Bala"|"Llanuwchllyn"|"Llanuwchllyn"|"Merionethshire"|"Sir Meirionydd"|"Wales"|NULL|"inc"|"Vaughan/1850, 204: `In the parish of Llannuwchllyn upon the south bank of the river Lliw on a high craggy rock are seen the walls of an old castle called Castell Corn Dochen.  Over against it is Caer Gai built in the time of the Romans as many suppose by the ancient coin of the Emperor Domitian found there of late...This place was called Caer Gai, of Cai Hir ap Cynyr, that was King Arthur's foster-brother who dwelt there.  But by what name it was called in the Roman time, I know not.'

Westwood/1876, 168: `LLANNWCHLLYN, near Bala.---At Caer Gai, on the north side of the small river Lliw (supposed by Camden to have been a Roman station from the number of coins found there) ... '. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LVEYN"|"Llanveynoe"|"inc"|"Llanveynoe"|"inc"|"Llanveynoe"|"inc"|"Herefordshire"|"inc"|"England"|NULL|"eccle"|"Romilly Allen/1902, 239: `...situated close to the borders of Wales, on the east side of the Black Mountains, about 15 miles south-west of Hereford'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LWNCC"|"Lewannick Churchtown"|"inc"|"Lewannick"|"inc"|"Lewannick"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"ind"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LWNCK"|"Lewannick"|"inc"|"Lewannick"|"inc"|"Lewannick"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"eccle"|NULL|"Thomas/1994, 312, `Pysically today's parish churchyard contains an inner element which is partly-oval enclosure, clearly primary, the eastern side of which is still a massive bank. It is the archaeological equivalent of what is meant by *lann...there is every reason to see it as a Christian location beginnings as a burial-place...subsequently all or part of it was enclosed in a dug bank surrounding a curvilinear space; this _lann_ was `developed' with one or more small stone churches; a fine new church (whose onate Norman font is still there) was built after 1100; and it continues to be what is has been for fifteen centuries'. "|NULL|NULL|NULL|NULL|NULL|NULL
"LWNIO"|"Llanwinio"|"Llanwinio"|"Llanwinio"|"Llanwinio"|"Llanwinio"|"Llanwinio"|"Carmarthenshire"|"Caerfyrddin"|"Wales"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LWNNW"|"Llanwnnws"|"inc"|"Llanwnnws"|"inc"|"Llanwnnws"|"inc"|"Cardiganshire"|"Sir Ceredigion"|"Wales"|NULL|"eccle"|"Churchyard.

Westwood/1879, 144, `picturesque churchyard of Llanwnnws near the Ystrad Meyric
station'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LYCHR"|"Llanychaer"|"inc"|"Llanychaer"|"inc"|"Llanychaer"|"inc"|"Pembrokeshire"|"Sir Benfro"|"Wales"|NULL|"eccle"|"Macalister/1945, notes that when recorded by Lhwyd, this stone was within the churchyard at Llanychaer."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LYMWD"|"Llanymawddwy"|"Llanymawddwy"|"Llanymawddwy"|"Llanymawddwy"|"Llanymawddwy"|"Llanymawddwy"|"Merionethshire"|"Sir Meirionydd"|"Wales"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"LYNTN"|"Lynton"|"inc"|"Lynton"|"inc"|"Lynton"|"inc"|"Devon"|"inc"|"England"|NULL|"modsc"|"Chanter/1913, 270, noted that the stone was found on the old road from Parracombe to Lynton."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MADR1"|"Madron"|"inc"|"Morvah"|"inc"|"Madron"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"lands"|"Macalister/1945, 445, `...standing on a moorland close to a power-station post.'

Okasha/1993, 174, `The stone is now in a field on a moor'.

Thomas/1994, 286, `...stands in a field near the northern edge of the granite uplands. It has been a landmark for centuries...'

From the OS Explorer 9 map it can be seen that within a 1.5km radius of the stone lie a number of prehistoric standing stone monuments including the Nine Maidens Stone Circle and the Mên-an-tol.

The site is near the parish boundary between Madron and Morvah."|"No information."|NULL|NULL|NULL|NULL|NULL|NULL
"MADR2"|"Madron"|"inc"|"Madron"|"inc"|"Madron"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"eccle"|"Thomas/1994, 290, `The church of Madron, mother-church of the town of Penzance and contained within the remnants of a large curvilinear enclosure'.

Thomas/1994, 302, note 49, `...this is the former (?pre-Norman) _Landithy_.'"|"Thomas/1994, 290, states that the church was restored during 1935--6."|NULL|NULL|NULL|NULL|NULL|NULL
"MAINS"|"Mains of Afforsk"|"inc"|"Mains of Afforsk"|"inc"|NULL|"inc"|"Aberdeenshire"|"inc"|"Scotland"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MANGE"|"Mangerton Mountain"|"inc"|"Mangerton Mountain"|"inc"|"Dunkerron South"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 217, `the slope of Mangerton Mountain'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MARG1"|"Margam Mountain"|"Mynydd Margam"|"Margam Mountain"|"inc"|"Margam"|"Margam"|"Glamorganshire"|"Sir Morganwg"|"Wales"|NULL|"lands"|"Westwood/1879, 22: `I traversed the mountain in different directions for several hours and met with many interesting British earthworks, which require careful investigation.  It [the stone] stood near a small tumulus or hillock called in Welsh `Crug Diwlith,' or the Dewless, the little mound where the bards of Tir Jarrl were accustomed to meet on the morning of the 24th of June, and was, when I visited it, lying amongst the stones still remaining of this tumulus. From the observation which I made of the locality it seemed to me that the situation had been chosen with reference to the origin of the river Kenfig, as the rise of this little stream can be traced to a small morass close to the tumulus on which the stone was lying.'

Aileen and Cyril Fox provide an extensive discussion of the area around the stone and the settlements found there (Fox/Fox/1934).

Fox/1939, 36--37: `This stone stood on the top of Margam Mountain, an extensive outlier of the Glamorgan uplands overlooking the coastal flats but linked with the hinterland to the north by a narrow saddle of high land.  A well defined trackway (_British Trackway_ on O.S. maps) indicates the route to the north.  The Bodvoc stone is set up beside this road at its highest point where it crosses the mountain at the source of the river Kenfig.  A small portion of the plateau to the south and east appears to have been a centre of settlement in early times---it contains the remains of three fortified enclosures, Y Bwlwarcau, Rhyd Blaen-y-cwm and Gaer Cwm Philip, which for reasons which have been given elsewhere are probably of post-Roman date.  Ascending the trackway from Rhyd Blaen-y-Cwm up the left bank of the Kenfig, the Bodvoc stone dominates the skyline for the greater part of the way.  Approached from any other direction it is hard to find, as it lies in a small hollow on the crest.  It is clear that the site was chosen by settlers on the south, to whom the roadway to the north was of importance.

`The stone stands 25 yards away from the eastern edge of the present track; it is in the middle of a small enclosure, which, unfortunately, was mutilated in the middle of the nineteenth century.  Enough remains, I think, in the light of Fochriw, to show its original character.  There are the remains of a low circular bank with indications of a ditch inside, measuring 33 feet in diameter, north to south.  On the west side, facing the road, both bank and ditch have gone.  The enclosed area has a rectangular appearance, and measures some 8 ft. square; the stone, unlike Fochriw, however, is set up in the middle of the `area.' It is important to notice that the inscription, like that on Maen Madoc, is on the south face, the face that is visible from the uphill approach from the presumed settlement area.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MARG2"|"Margam Abbey"|"inc"|"Margam"|"Margam"|"Margam"|"Margam"|"Glamorganshire"|"Sir Morganwg"|"Wales"|NULL|"eccle"|"Redknap/1991, 68-75, argues for Margam as the centre of a `school of craftsmen' in the ninth or tenth century."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MARG3"|"Cwrt-y-Dafydd Farm"|"inc"|"Cwrt-y-Dafydd Farm"|"inc"|"Margam"|"Margam"|"Glamorganshire"|"Sir Morganwyg"|"Wales"|NULL|"modsc"|"Momuments originally used as part of a bridge on this farm (RCAHMW/1976, 53)."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MARLY"|"Marlay"|"inc"|"Marlay"|"inc"|"Ferrard"|"inc"|"Louth"|"Lu"|"Ireland"|NULL|"cemet"|"Macalister/1949, 31, `said to have come from an old graveyard'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MAUGH"|"Maughold"|"inc"|"Maughold"|"inc"|"Kirk Maughold"|"inc"|"Isle of Man"|"Ynys Manaw/Ellan Vannin"|"Isle of Man"|NULL|"eccle"|"Megaw/1950, 171, 178--179, `Besides the parish church, the ruins of no less than three `keeills' and the site of a fourth lie within the churchyard of Kirk Maughold...the cross-slabs imply the monastery was established before the end of the seventh century...In the absence of earlier archaeological evidence we can only assume that Maughold founded his monastery during the sixth or early seventh century'. 

Site of Bishopric - earliest non-epigraphic reference from the _Manx Chronicle_ of c. 1260.

Also see Cubbon/1982, 260--262."|"

"|NULL|NULL|NULL|NULL|NULL|NULL
"MAUIG"|"Kilcolman"|"Cill na gColmán"|"Maumanorig"|"Mán an Oriagh"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"eccle"|"Cuppage/etal/1986, 332--333, `An Early Christian church site lying on the S slopes of an E--W spur of Lateevemore, overlooking Ventry Harbour.  It consists of a circular enclosure within which are the reputed site of a church (1), the foundations of a least two huts (2) and a number of graves and gravemarkers (3) which probably relate to the use of the site, until the 19th century, as a calluragh burial ground (OSNB Marhin, 14).  Also within the site are a cross-inscribed ogham stone (4), a small cross inscribed stone (5), a holed stone (6) and 3 bullaun stones (7).  Another cross-inscribed stone (8) has been incorporated into the lane boundary wall on the N side of the field in which the enclosure is situated, and S of the enclosure is a holy well (9) dedicated to St. Brendan.

`The enclosure, 44m N--S x 47m E--W internally, is defined by an earthern bank, faced in parts with drystone walling, and overlain or replaced in sections by modern stone walls.  The SW sector is defined by a straight field wall but a slight platform outside probably indicates the original outline.  Where best preserved the bank averages about 1m in height.  A narrow terrace outside the S part of the enclosure is revetted on its downward edge with drystone masonry.  There is a 2m wide entrance gap at NW.  The interior slopes downhill to SW but is divided E--W into an upper and lower terrace by a low meandering scarp.'

Cuppage et al then continue to describe the remaining features in some detail."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MAWGN"|"Mawgan"|"inc"|"St Mawgan in Meneage"|"inc"|"St Mawgan-in-Meneage"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"lands"|"Macalister/1945, 447, `...at a meeting of roads in the middle of the village'.

Okasha/1993, 185, `Vivian stated that the stone `stands upright in the High-way, where two Lanes meet, in the Parish of _Mawgan_, in Meneag, not a quarter of a Mile from the Parish-Church'. ...Langdon recorded that the stone was `believed to be _in situ_'."|"Preston-Jones/1992, 120--121, discusses the inner and outer enclosures at Mawgan, with a plan of the site showing the location of the stone, and argues that it is likely to be a _lann_ of at least seventh-century date.

Thomas/1994, 316--317, `Ann Preston-Jones has shown that Mawgan in Meneage, where the c. 600 memorial of _Cnegumi_ could stand at a way-in through an outer enclosure stretching far around the parish churchyard, is a likely candidate.'  Thomas goes on to state that that despite lack of place-name evidence Mawgan is likely to be a _lann_."|NULL|NULL|NULL|NULL|NULL|NULL
"MBOIC"|"Monasterboice"|"inc"|"Monasterboice"|"inc"|"Ferrard"|"inc"|"Louth"|"Lu"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MEELK"|"Meelick"|"Meelick"|"Meelick"|"Meelick"|"Gallen"|"inc"|"Mayo"|"Mayo"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MELIN"|"Rhos Dywyrch"|"inc"|"Rhos Dywyrch"|"inc"|"Meline"|"inc"|"Pembrokeshire"|"Sir Benfro"|"Wales"|NULL|"lands"|"Lewis 1746, reported in Owen/1896, 131--132,  `...in the parish of Meline, near Rhos Dowrych (Carmarthenshire [sic.]), the seat of John Howell's, gent., near a hill called Pen y Benglog, where there are old entrenchments'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MMAWR"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Glamorganshire"|"Sir Morgannwg"|"Wales"|NULL|"eccle"|"St Teilo's Church."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MMWR2"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Glamorganshire"|"Sir Morgannwg"|"Wales"|NULL|"lands"|"Edward Lhwyd, cited by Nash-Williams/1950, 154: `On ye bank of ye River Ogwr'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MMWR3"|"Whitney Farm"|"inc"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Merthyr Mawr"|"Glamorganshire"|"Sir Morgannwg"|"Wales"|NULL|"lands"|"Rhys/1905, 38, `The great cross at Merthyr Mawr comes from a spot near Witney farm, between Merthyr Mawr and Laleston: it stood about ten yards from the fence not in it.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MNCLO"|"Temple Druid"|"Bwlch y Clawdd"|"Temple Druid"|"inc"|"Maenclochog"|"inc"|"Pembrokeshire"|"Sir Benfro"|"Wales"|NULL|"lands"|"RCAHMW/1925, 207, `_Temple Druid_ ...The present house was rebuilt for a hunting-box early in the 19th century, when the name was changed to Temple Druid; the former name of Bwlch y clawdd is still used by old inhabitants.'

The stone was found next to the road near this building."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MNTRI"|"Mount Rivers"|"inc"|"Mount Rivers"|"inc"|"East Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"settl"|"Macalister/1945, 119, `a ringfort, called...MUllenroe'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MNTRU"|"Mount Russell"|"inc"|"Mount Russell"|"inc"|"Coshlea"|"inc"|"Limerick"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 254, `a field near the house called Mount Russell'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MONAI"|"Mona Incha"|"inc"|"Mona Incha"|"inc"|"Ikerrin"|"inc"|"Tipperary"|"inc"|"Ireland"|NULL|"eccle"|"Petrie/1878, 35: `MONA-INCHA is situated in the townland of Tighmoney, parish of Corbally, and barony of Ikeran, in the county of Tipperary.

`The name signifies `the Bog of the Island,' from [_Móin Mone_], `a bog' and _Incha_, `Island.'

`A small but deep lake in this bog is all that now remains of Loch Cre, from which the island was formerly called Inis locha Cre.'  Petrie then relates some of the history of the site, primarily concerning the abbey.

`The remains at Mona-incha now consist of the ruins of a very beautiful church, with richly sculptured western doorway and chancel arch, probably built in the twelfth century, and a portion of the shaft of a cross covered with Celtic ornamental design.  Three inscribed stones have been discovered in the church.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MONAT"|"Monataggart"|"inc"|"Monataggart"|"inc"|"East Muskerry"|"inc"|"Cork"|"Chorcai"|"Ireland"|NULL|"soutn"|"Macalister/1945, 116, `underground chamber'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MRAME"|"Martramane"|"Meartramain"|"Martramane"|"Meartramain"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"modsc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MRSTN"|"Moorestown"|"Baile an Mhoraigh"|"Moorestown"|"Baile an Mhoraigh"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MRTHR"|"Merthyr"|"Merthyr"|"Merthyr"|"Merthyr"|"Merthyr"|"Merthyr"|"Carmarthenshire"|"Caerfyrddin"|"Wales"|NULL|"eccle"|"Westwood/1879, 97: `near Cwrt Derllys, three miles west of Carmarthen'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"MTDFL"|"Merthyr Tydfil"|"Merthyr Tydfil"|"Merthyr Tydfil"|"Merthyr Tydfil"|"Merthyr Tydfil"|"Merthyr Tydfil"|"Glamorganshire"|"Sir Morgannwg"|"Wales"|NULL|"modsc"|"Westwood/1879, 5, `In one of the angles of the Church of St. Tydfil (the parish church of Merthyr Tydvil) there is inserted at a considerable distance from the ground an inscribed stone.'

No information on an earlier location."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
